English,Malay
a,"a. satu; sebarang; dalam, pada atau bagi tiap-tiap."
aardvark,n. mamalia Afrika yang bermuncung panjang.
aback,"adv. memeranjatkan, mengejutkan."
taken,aback adv. terperanjat. 
abacus,"n. cempoa, sempoa; kerangka mengandungi bebola yang menggelongsor pada batangnya, digunakan untuk mengira."
abaft,"adv. & prep, di atau ke arah buritan kapal."
abandon,v.r. pergi dengan tiada niat untuk kembali; meninggalkan. 
abandonment,n. pengguguran; peng- hentian; pembuangan.
abandoned,"a. (tentang perangai, dsb.) yang menunjukkan perilaku yang lepas bebas; terbiar; terbengkalai."
abase,v.t. memalukan; mengaibkan; menghina.
abasement,n. penghinaan.
abashed,a. malu; tersipu-sipu.
abate,v.t.i. (me)reda; membuat sesuatu itu supaya kurang teruk atau keras; menjadi kurang teruk atau keras; meredakan. 
abatement,n. reda.
abattoir,n. rumah penyembelihan.
abbey,n. biara; bangunan yang diduduki oleh sekumpulan rahib lelaki dan perempuan; gereja di bawah naung- annya.
abbot,n. ketua sekumpulan rahib lelaki. 
abbess,n.fem. ketua rahib perempuan. 
abbreviate,v.t. memendekkan.
abbreviation,n. kependekan untuk perkataan.
ABC,n. ABC; abjad Rumi; panduan mengikut urutan abjad; dasar (sesuatu perkara).
abdicate,v.ti. turun takhta; lepas hak. 
abdication,n. pelepasan takhta atau hak.
abdomen,n. abdomen; bahagian badan yang mengandungi organ hadaman. 
abdominal,a. berkaitan dengan perut.
abduct,v.. menculik. 
abduction,n. penculikan. 
abductor,n. penculik.
aberrant,a. tidak normal atau tidak boleh diterima; menyeleweng.
aberration,n. penyelewengan; lenco- ngan daripada sesuatu yang normal; hiking ingatan atau moral; herotan.
abet,v.t. bersubahat; menggalakkan atau membantu dalam perbuatan jahat. 
abettor,n. penggalak (perbuatan jahat).
abeyance,n. penundaan. 
in,abeyance tidak digunakan atau diuruskan selama beberapa waktu.
abhor,v.t. (p.t. abhorred) meluat. 
abhorrence,n. kebencian yang amat sangat.
abhorrent,a. yang sangat dibenci; menjijikkan.
abide,v.t.i. (p.t. abode) tinggal; diam; menyabarkan. 
abide,"by berpegang (padajanji); menerima (aki- bat, dll.)."
abiding,a. abadi; kekal.
ability,n. kebolehan; kemampuan; kualiti yang membolehkan sesuatu tindakan atau proses tercapai; kuasa melakukan sesuatu; kepintaran.
abject,a. melarat; tanpa maruah; hina. 
abjectly,adv. malangnya.
ablaze,a. bemyala.
able,"a.(-er, -est) mampu; mempunyai kuasa yang cukup; mempunyai kebolehan."
ably,adv. dengan cekap.
ablutions,n.pl. penyucian; wuduk; proses membersihkan diri.
abnegate,v.t. melepaskan; menolak. 
abnegation,n. pelepasan; penolakan. 
abnormal,a. abnormal; luar biasa; ganjil. 
abnormally,adv. anehnya. 
abnormality,n. keanehan.
aboard,"adv. & prep, di atas, di dalam (kenderaan)."
abode,lihat
abide,-n. tempat kediam- an.
abolish,"v.t. membasmi, menghapus- kan. "
abolition,n. pembasmian. 
abolitionist,n. pembasmi.
abominable,a. menjijikkan; buruk sekali. abominably adv. dengan jijik.
abominate,v.t. berasa jijik. abomination n. kebencian.
aboriginal,a(temtama tentang manusia) yang mendiami sesuatu tempat sejak dahulu sebelum kedatangan orang luar.
aborigines,n.pl. penduduk asal. aborigine n. (colloq.) salah seorang daripada mereka itu.
abort,v.t.i. menggugurkan; menggagal- kan; (menyebabkan) keluarjanin secara pramasa; berakhir sebelum masanya dan tanpa kejayaan; membatalkan sebelum sempuma kerana bermasalah.
